Year, Month, Date, Hour, Minute, Second, Lon, Lat, bestLevel, MaxVT, RMW, Pressure, PressureDeficit
2020, 08, 26, 18, 00, 00, -92.94, 28.49, 3.0, 64.62, 29.0, 963.18, 49.82
2020, 08, 26, 18, 06, 44, -92.98, 28.51, 3.0, 62.35, 28.0, 966.55, 46.45
2020, 08, 26, 18, 13, 28, -92.97, 28.54, 3.0, 62.29, 31.0, 969.53, 43.47
2020, 08, 26, 18, 20, 38, -92.99, 28.55, 3.0, 61.57, 30.0, 968.61, 44.39
2020, 08, 26, 18, 27, 22, -93.0, 28.58, 3.0, 64.28, 27.0, 968.05, 44.95
2020, 08, 26, 18, 34, 06, -93.02, 28.58, 3.0, 65.43, 28.0, 964.2, 48.8
2020, 08, 26, 18, 40, 50, -93.02, 28.62, 3.0, 66.15, 28.0, 963.92, 49.08
2020, 08, 26, 18, 48, 01, -93.03, 28.65, 3.0, 64.77, 31.0, 966.99, 46.01
2020, 08, 26, 18, 55, 03, -92.96, 28.65, 3.0, 46.67, 14.0, 966.18, 46.82
2020, 08, 26, 19, 01, 47, -93.06, 28.67, 3.0, 65.4, 29.0, 966.08, 46.92
2020, 08, 26, 19, 08, 58, -93.06, 28.71, 3.0, 64.51, 30.0, 966.12, 46.88
2020, 08, 26, 19, 15, 54, -93.07, 28.71, 3.0, 64.95, 29.0, 965.96, 47.04
2020, 08, 26, 19, 23, 06, -93.06, 28.77, 3.0, 64.33, 28.0, 966.41, 46.59
2020, 08, 26, 19, 30, 01, -93.09, 28.76, 3.0, 65.5, 28.0, 964.25, 48.75
2020, 08, 26, 19, 37, 03, -93.09, 28.81, 3.0, 63.22, 30.0, 968.38, 44.62
2020, 08, 26, 19, 43, 59, -93.11, 28.83, 3.0, 64.75, 30.0, 969.75, 43.25
2020, 08, 26, 19, 50, 55, -93.12, 28.84, 3.0, 64.13, 29.0, 968.6, 44.4
2020, 08, 26, 19, 57, 50, -93.14, 28.88, 3.0, 65.29, 28.0, 968.89, 44.11
2020, 08, 26, 20, 04, 46, -93.13, 28.89, 3.0, 65.35, 29.0, 968.63, 44.37
2020, 08, 26, 20, 11, 49, -93.14, 28.91, 3.0, 65.87, 31.0, 967.29, 45.71
2020, 08, 26, 20, 18, 43, -93.15, 28.95, 3.0, 66.25, 29.0, 962.89, 50.11
2020, 08, 26, 20, 25, 55, -93.17, 28.99, 3.0, 64.43, 29.0, 969.12, 43.88
2020, 08, 26, 20, 32, 50, -93.18, 28.98, 3.0, 66.1, 31.0, 969.96, 43.04
2020, 08, 26, 20, 39, 39, -93.17, 29.02, 3.0, 64.36, 32.0, 973.03, 39.97
2020, 08, 26, 20, 46, 29, -93.18, 29.04, 3.0, 63.09, 29.0, 973.1, 39.9
